content_id,title,description,sdg_goal,category
101,Clean Water Project in Africa,Project to improve rural sanitation and clean water access.,SDG 6,Project
102,Renewable Energy Awareness,Campaign promoting solar and wind energy adoption.,SDG 7,Campaign
103,Zero Hunger Initiative,Efforts to eliminate hunger and promote sustainable agriculture.,SDG 2,Program
104,Sustainable Cities Development,Planning cities with green infrastructure.,SDG 11,Policy
105,Gender Equality in Education,Promoting equal access to education for all genders.,SDG 5,Awareness
106,Climate Action Summit,Global discussions on reducing carbon emissions.,SDG 13,Event
107,Affordable Clean Energy,Local projects on renewable electricity access.,SDG 7,Project
108,Life Below Water,Protecting marine ecosystems from plastic waste.,SDG 14,Conservation
109,Responsible Consumption,Awareness on waste reduction and recycling.,SDG 12,Campaign
110,Decent Work and Economic Growth,Campaign to create fair employment opportunities.,SDG 8,Program
111,Partnerships for Goals,Collaboration among NGOs for SDG progress.,SDG 17,Partnership
114,Life on Land,Forest restoration and biodiversity conservation.,SDG 15,Project
